DETAIL_ID,EXHIBIT_ID,TYPE,NAME,VALUE,SUB_VALUE,OPEN_YN,REG_DT,REG_ID,UP_DT,UP_ID
"16,188",571,E,채집지,땅끝해양자연사박물관,,Y,11-17-2016 15:33:46,scicenter,,
"17,319","2,637",E,영명,Crystelline limestone,,,11-25-2016 10:30:07,scicenter,,
"17,309","3,361",E,영명,Dacitic welded tuff,,,11-25-2016 10:16:37,scicenter,,
"17,312","2,649",E,영명,Intrusion(Gneiss/Dyke),,,11-25-2016 10:20:09,scicenter,,
"17,329","2,614",E,영명,Granite,,,11-25-2016 10:45:03,scicenter,,
"17,323","2,628",E,영명,Black shale,,,11-25-2016 10:33:22,scicenter,,
"17,331","2,602",E,영명,Sepentinite,,,11-25-2016 10:54:04,scicenter,,
"17,333","2,593",E,학명,Serpula vermicularis Linnaeus,,Y,11-25-2016 10:58:16,scicenter,,
"17,334","2,593",E,영명,Tube warm,,Y,11-25-2016 10:58:16,scicenter,,
"17,335","2,593",E,분포,조간대에서 심해까지 널리 분포,,Y,11-25-2016 10:58:16,scicenter,,
"17,290","2,509",E,제조연대,2011,,Y,11-24-2016 11:09:29,scicenter,,
"17,291","2,509",E,국적,한국,,Y,11-24-2016 11:09:29,scicenter,,
"17,292","2,509",E,크기,470*380*310,,Y,11-24-2016 11:09:29,scicenter,,
"17,293","2,509",E,용도/기능,어린이체험,,Y,11-24-2016 11:09:29,scicenter,,
"17,294","2,508",E,국적,한국,,Y,11-24-2016 11:10:00,scicenter,,
"17,295","2,508",E,크기,360*350*310,,Y,11-24-2016 11:10:00,scicenter,,
"17,296","2,508",E,용도/기능,어린이체험,,Y,11-24-2016 11:10:00,scicenter,,
"17,297","2,508",E,제조연대,2011,,Y,11-24-2016 11:10:00,scicenter,,
"17,298","2,507",E,크기,540*330*310,,Y,11-24-2016 11:11:01,scicenter,,
"17,307","3,363",E,영명,Rhyolite,,,11-25-2016 10:15:42,scicenter,,
"17,313","2,647",E,영명,Migmatitic Gneiss,,,11-25-2016 10:21:02,scicenter,,
"17,316","2,642",E,영명,hornblende gneiss,,,11-25-2016 10:28:07,scicenter,,
"17,318","2,638",E,영명,Hornblende Schist,,,11-25-2016 10:29:43,scicenter,,
"17,351","2,589",E,학명,"Pseudorasbora parva (TEMMINCK and SCHLEGEL, 1846)",,Y,11-25-2016 11:00:06,scicenter,,
"17,352","2,589",E,영명,False dace,,Y,11-25-2016 11:00:06,scicenter,,
"15,924",610,E,영명,Echinoidea,,Y,11-17-2016 15:12:17,scicenter,,
"15,925",610,E,과명,성게과,,Y,11-17-2016 15:12:17,scicenter,,
"15,926",610,E,목명,성게목,,Y,11-17-2016 15:12:17,scicenter,,
"15,927",610,E,크기,48㎜×11㎜×16㎜,,Y,11-17-2016 15:12:17,scicenter,,
"15,928",610,E,채집일,2014.03.28,,Y,11-17-2016 15:12:17,scicenter,,
"15,890","3,438",E,목명,딱정벌레목,,,11-17-2016 10:47:41,scicenter,,
"15,891","3,438",E,과명,장수풍뎅이과,,Y,11-17-2016 10:47:41,scicenter,,
"15,892","3,438",E,학명,Megasoma elephas,,Y,11-17-2016 10:47:41,scicenter,,
"15,893","3,438",E,크기,"수컷 50~130mm, 암컷 60~75mm",,Y,11-17-2016 10:47:41,scicenter,,
"15,923",610,E,학명,Echinoidea,,Y,11-17-2016 15:12:17,scicenter,,
"15,929",610,E,채집지,땅끝해양자연사박물관,,Y,11-17-2016 15:12:17,scicenter,,
"17,497","2,552",E,분포,"우리 나라 동해, 남해연안. 일본, 동중국해",,Y,11-25-2016 11:18:11,scicenter,,
"17,498","2,552",E,학명,Stephanolepis cirrhifer (Temminck et Schlegel),,Y,11-25-2016 11:18:11,scicenter,,
"17,499","2,552",E,영명,Threadsail filefish,,Y,11-25-2016 11:18:11,scicenter,,
"17,500","2,552",E,방언,"쥐고기(부산), 가치(포항), 객주리(제주도), 쥐치어(전남)",,Y,11-25-2016 11:18:11,scicenter,,
"17,502","2,551",E,영명,Black sea bream,,Y,11-25-2016 11:18:31,scicenter,,
"17,505","2,550",E,영명,"Genuine porgy, red sea bream",,Y,11-25-2016 11:19:02,scicenter,,
"17,506","2,550",E,방언,"참도미, 돔, 진도미어, 도미",,Y,11-25-2016 11:19:02,scicenter,,
"17,507","2,550",E,분포,"우리 나라 전 연근해, 일본, 남중국해, 대만",,Y,11-25-2016 11:19:02,scicenter,,
"17,508","2,550",E,학명,Pagrus major (Temminck et Schlegel),,Y,11-25-2016 11:19:02,scicenter,,
"17,513","2,548",E,영명,Footballer,,Y,11-25-2016 11:32:24,scicenter,,
"17,514","2,548",E,방언,"남신벌레, 뚝대기(제주)",,Y,11-25-2016 11:32:24,scicenter,,
"17,515","2,548",E,분포,"우리 나라 남해, 일본 중부 이남, 동중국해, 중·서태평양",,Y,11-25-2016 11:32:24,scicenter,,
"17,516","2,548",E,학명,Microcanthus strigatus (Cuvier),,Y,11-25-2016 11:32:24,scicenter,,
"17,550","2,539",E,영명,Seahorse,,Y,11-25-2016 13:53:25,scicenter,,
"17,551","2,539",E,분포,"한국, 일본, 동남아시아 등",,Y,11-25-2016 13:53:25,scicenter,,
"17,555","2,537",E,학명,Pomacentrus coelestis,,Y,11-25-2016 13:54:50,scicenter,,
"17,556","2,537",E,영명,Heavenly damselfish,,Y,11-25-2016 13:54:50,scicenter,,
"17,521","2,547",E,학명,Ostracion cubicus Linnaeus,,Y,11-25-2016 11:39:37,scicenter,,
"17,522","2,547",E,영명,Linnaeus,,Y,11-25-2016 11:39:37,scicenter,,
"17,523","2,547",E,방언,"안진복 (부산, 경주), 골복짱이 (영덕)",,Y,11-25-2016 11:39:37,scicenter,,
"17,524","2,547",E,분포,"우리 나라 남해, 일본 중부이남, 동중국해, 대만, 필리핀.",,Y,11-25-2016 11:39:37,scicenter,,
"17,546","2,540",E,항명,Amphiprion sp.,,Y,11-25-2016 13:53:00,scicenter,,
"17,547","2,540",E,영명,Anemone fish,,Y,11-25-2016 13:53:00,scicenter,,
"17,548","2,540",E,분포,"제주도, 일본동경 이남, 필리핀, 인도양, 아프리카 동쪽연안, 홍해",,Y,11-25-2016 13:53:00,scicenter,,
"17,549","2,539",E,학명,Hippocampus kuda (Bleeker),,Y,11-25-2016 13:53:25,scicenter,,
"17,557","2,537",E,분포,"제주도, 일본중부 이남, 서태평양",,Y,11-25-2016 13:54:50,scicenter,,
"17,567","2,533",E,학명,Heniochus acuminatus (Linnaeus),,Y,11-25-2016 13:56:47,scicenter,,
"16,837","2,542",E,학명,Parapristipoma,,Y,11-21-2016 14:25:11,scicenter,,
"16,838","2,542",E,영명,Grunter,,Y,11-21-2016 14:25:11,scicenter,,
"16,839","2,542",E,분포,우리나라,,Y,11-21-2016 14:25:11,scicenter,,
"17,568","2,533",E,영명,"angelfish, coachman, pennant coral fish",,Y,11-25-2016 13:56:47,scicenter,,
"17,569","2,533",E,분포,"제주도를 포함한 남해안, 일본 남부, 남중국해, 인도양, 홍해",,Y,11-25-2016 13:56:47,scicenter,,
"7,977","1,954",E,학명,Glycine max ,,Y,12-21-2015 00:00:00,superadmin,,
"7,978","1,954",E,영명,soybean ,,Y,12-21-2015 00:00:00,superadmin,,
"7,979","1,954",E,과명,콩과,,Y,12-21-2015 00:00:00,superadmin,,
"7,980","1,954",E,목명,콩목,,Y,12-21-2015 00:00:00,superadmin,,
