단지명,회사명,공장대표주소,업종명,데이터기준일자
강진환경산업단지,에스디솔루션(주) ,전라남도 강진군 성전면 강진산단로 198-15,배전반 및 전기 자동제어반 제조업,2025-09-08
강진환경산업단지,에스디엔 주식회사,전라남도 강진군 성전면 강진산단로 158,기타 선박 건조업,2025-09-08
강진환경산업단지,에스디오션 주식회사,전라남도 강진군 성전면 강진산단로 158,기타 선박 건조업,2025-09-08
개별입지,연동정미소,전라남도 강진군 옴천면 연동길 8,곡물 도정업,2025-09-08
개별입지,영농조합법인 상선,전라남도 강진군 도암면 해강로 880-7,기타 과실ㆍ채소 가공 및 저장 처리업,2025-09-08
강진환경산업단지,영우산업 주식회사,전라남도 강진군 성전면 강진산단로2길 103,콘크리트 관 및 기타 구조용 콘크리트 제품 제조업 외 1종,2025-09-08
개별입지,영일수산,전라남도 강진군 마량면 마량5길 23,수산식물 가공 및 저장 처리업,2025-09-08
강진마량농공단지,영일수산제2공장,전라남도 강진군 마량면 마량공단길 24,수산식물 가공 및 저장 처리업,2025-09-08
강진칠량농공단지,영풍수산,전라남도 강진군 칠량면 청자로 656-26,수산식물 가공 및 저장 처리업,2025-09-08
개별입지,원마식품 영어조합법인,전라남도 강진군 마량면 마량공단길 11,수산식물 가공 및 저장 처리업,2025-09-08
개별입지,유신식품,전라남도 강진군 강진읍 삼일로 47,기타 비알코올 음료 제조업,2025-09-08
강진환경산업단지,유한회사 에코블루,전라남도 강진군 성전면 송학리 212-5번지 강진산업단지 A11-2,혼성 및 재생 플라스틱 소재 물질 제조업,2025-09-08
개별입지,유한회사 제일식품,전라남도 강진군 병영면 신지길 8,기타 식품 첨가물 제조업,2025-09-08
강진환경산업단지,유한회사 조은산업,전라남도 강진군 성전면 송학리 841-7,기타 식품 첨가물 제조업,2025-09-08
강진환경산업단지,이켐 주식회사,전라남도 강진군 성전면 강진산단로2길 104,그 외 기타 분류 안된 화학제품 제조업 외 2종,2025-09-08
개별입지,자연그대로영농조합법인,전라남도 강진군 성전면 대월달마지길 91,김치류 제조업 외 1종,2025-09-08
개별입지,작천주조장,전라남도 강진군 작천면 삼당리 540번지,탁주 및 약주 제조업,2025-09-08
개별입지,정한영어조합법인,전라남도 강진군 마량면 미항로 121,수산식물 가공 및 저장 처리업,2025-09-08
개별입지,정현식품,전라남도 강진군 마량면 마량5길 4,"수산동물 훈제, 조리 및 유사 조제식품 제조업 외 4종",2025-09-08
개별입지,제일수산,전라남도 강진군 대구면 중저길 29 (총 2 필지),수산식물 가공 및 저장 처리업,2025-09-08
