기간,품목명,국가명,수출중량(톤),수출금액(천불),수입중량(톤),수입금액(천불)
2021,몰리브덴,이란,0,0,42,626
2021,몰리브덴,인도,40,512,0,0
2021,몰리브덴,일본,2989,65850,83,582
2021,몰리브덴,중국,363,4544,3846,82446
2021,몰리브덴,칠레,0,0,19089,346703
2021,몰리브덴,카자흐스탄,0,0,281,3315
2021,몰리브덴,태국,332,360,240,5024
2021,몰리브덴,페루,0,0,3603,53184
2021,몰리브덴,호주,,,,
2022,몰리브덴,네덜란드,,,,
2022,몰리브덴,대만,0,0,0,0
2022,몰리브덴,독일,,,,
2022,몰리브덴,말레이시아,0,0,20,510
2022,몰리브덴,멕시코,0,0,8477,185991
2022,몰리브덴,몽골,0,0,1074,18365
2022,몰리브덴,미국,0,0,1421,32445
2022,몰리브덴,베트남,1931,7760,708,16544
2022,몰리브덴,벨기에,0,0,580,14009
2022,몰리브덴,UAE,0,0,40,893
2022,몰리브덴,아르메니아,0,0,739,12438
2022,몰리브덴,아르헨티나,0,0,59,1101
2022,몰리브덴,이란,0,0,21,422
2022,몰리브덴,인도,108,755,0,0
2022,몰리브덴,일본,1507,36941,117,1507
2022,몰리브덴,중국,98,1872,7076,162928
2022,몰리브덴,칠레,0,0,13376,307369
2022,몰리브덴,카자흐스탄,0,0,170,3231
2022,몰리브덴,태국,773,1126,283,6938
2022,몰리브덴,페루,0,0,1410,27667
2022,몰리브덴,호주,0,0,432,7599
2021,티타늄,남아프리카공화국,0,0,2000,2637
2021,티타늄,네덜란드,0,0,0,0
2021,티타늄,노르웨이,0,0,42772,10330
2021,티타늄,대만,0,0,38,77
2021,티타늄,독일,0,0,24,27
2021,티타늄,말레이시아,0,0,104,27
2021,티타늄,모잠비크,0,0,200,113
2021,티타늄,미국,0,0,0,0
2021,티타늄,베트남,0,0,42950,18963
2021,티타늄,세네갈,0,0,2580,3199
2021,티타늄,스리랑카,0,0,72,19
2021,티타늄,스페인,0,0,0,6
2021,티타늄,시에라리온,0,0,2460,3689
2021,티타늄,UAE,,,,
2021,티타늄,우크라이나,0,0,4080,7290
2021,티타늄,이집트,0,0,0,0
2021,티타늄,인도,0,0,11000,3839
2021,티타늄,중국,302062,23438,745,915
2021,티타늄,캐나다,0,0,0,0
2021,티타늄,케냐,0,0,3566,5259
2021,티타늄,태국,0,0,92,37
2021,티타늄,호주,0,0,5058,2494
2021,티타늄,홍콩,0,0,0,0
2022,티타늄,남아프리카공화국,0,0,1900,3485
2022,티타늄,네덜란드,,,,
2022,티타늄,노르웨이,0,0,25000,7713
2022,티타늄,대만,,,,
2022,티타늄,독일,,,,
2022,티타늄,말레이시아,0,0,78,27
2022,티타늄,모잠비크,,,,
2022,티타늄,미국,,,,
2022,티타늄,베트남,0,0,19540,9646
2022,티타늄,세네갈,0,0,3380,6199
2022,티타늄,스리랑카,,,,
2022,티타늄,스페인,,,,
2022,티타늄,시에라리온,0,0,2420,5031
2022,티타늄,UAE,0,0,0,0
2022,티타늄,우크라이나,0,0,4102,8790
2022,티타늄,이집트,,,,
2022,티타늄,인도,,,,
2022,티타늄,중국,260954,18900,68,134
2022,티타늄,캐나다,,,,
2022,티타늄,케냐,0,0,4864,10876
2022,티타늄,태국,0,0,20,10
2022,티타늄,호주,0,0,6462,3655
2022,티타늄,홍콩,,,,
2021,망간,가봉,0,0,101970,21580
2021,망간,남아프리카공화국,0,0,717245,147818
2021,망간,네덜란드,0,0,80,57
2021,망간,대만,0,0,588,12
2021,망간,독일,0,0,0,0
2021,망간,모로코,,,,
2021,망간,미국,0,0,380,539
2021,망간,베트남,,,,
2021,망간,볼리비아,0,0,0,0
2021,망간,이탈리아,,,,
2021,망간,인도,0,0,0,0
2021,망간,일본,0,0,0,0
2021,망간,중국,0,0,34,13
2021,망간,호주,0,0,504798,120337
2022,망간,가봉,0,0,36497,9951
2022,망간,남아프리카공화국,0,0,544192,130060
2022,망간,네덜란드,0,0,60,48
2022,망간,대만,,,,
2022,망간,독일,0,0,0,0
2022,망간,모로코,0,0,0,0
2022,망간,미국,0,0,323,468
2022,망간,베트남,93,3,0,0
2022,망간,볼리비아,,,,
2022,망간,이탈리아,0,0,0,0
2022,망간,인도,,,,
2022,망간,일본,0,0,19501,4506
2022,망간,중국,20,2,19,4
2022,망간,호주,0,0,485338,138594
2021,주석,나이지리아,0,0,1,17
2021,주석,몽골,,,,
2021,주석,미국,0,0,0,0
2021,주석,미얀마,,,,
2021,주석,베네수엘라,,,,
2021,주석,베트남,1,18,0,0
2021,주석,세네갈,0,0,0,0
2021,주석,인도,0,5,0,0
2021,주석,인도네시아,0,3,0,0
2021,주석,중국,1,53,0,0
2021,주석,콩고민주공화국,0,0,0,0
2021,주석,태국,,,,
2021,주석,프랑스,,,,
2022,주석,나이지리아,,,,
2022,주석,몽골,0,0,0,1
2022,주석,미국,0,0,0,0
2022,주석,미얀마,0,0,0,0
2022,주석,베네수엘라,0,0,0,0
2022,주석,베트남,0,0,0,0
2022,주석,세네갈,,,,
2022,주석,인도,0,3,0,0
2022,주석,인도네시아,,,,
2022,주석,중국,1,36,0,0
2022,주석,콩고민주공화국,,,,
2022,주석,태국,0,0,17,118
2022,주석,프랑스,0,0,0,0
2021,니켈,과테말라,,,,
2021,니켈,네덜란드,0,0,0,5
2021,니켈,뉴칼레도니아,0,0,3076534,330115
2021,니켈,독일,,,,
2021,니켈,러시아연방,,,,
2021,니켈,룩셈부르크,0,0,0,0
2021,니켈,미국,0,0,0,0
2021,니켈,볼리비아,,,,
2021,니켈,알바니아,,,,
2021,니켈,일본,86,42,0,0
2021,니켈,중국,0,0,0,0
2021,니켈,카자흐스탄,0,0,0,0
2021,니켈,캐나다,,,,
2021,니켈,코트디부아르,,,,
2021,니켈,탄자니아,,,,
2021,니켈,필리핀,0,0,105000,10563
2021,니켈,호주,0,0,0,0
2022,니켈,과테말라,0,0,96424,13537
2022,니켈,네덜란드,0,0,0,5
2022,니켈,뉴칼레도니아,0,0,2401819,348833
2022,니켈,독일,0,0,0,0
2022,니켈,러시아연방,0,0,0,0
2022,니켈,룩셈부르크,,,,
2022,니켈,미국,0,0,0,1
2022,니켈,볼리비아,0,0,0,0
2022,니켈,알바니아,0,0,0,0
2022,니켈,일본,46,64,0,0
2022,니켈,중국,62,143,0,0
2022,니켈,카자흐스탄,0,0,0,0
2022,니켈,캐나다,0,0,0,0
2022,니켈,코트디부아르,0,0,45100,7757
2022,니켈,탄자니아,0,0,0,0
2022,니켈,필리핀,0,0,109943,12297
2022,니켈,호주,0,0,0,0
2021,코발트,네덜란드,,,,
2021,코발트,독일,,,,
2021,코발트,미국,0,0,0,0
2021,코발트,영국,,,,
2021,코발트,이집트,,,,
2021,코발트,잠비아,0,0,0,0
2021,코발트,콩고민주공화국,,,,
2021,코발트,프랑스,0,0,0,0
2022,코발트,네덜란드,0,0,0,0
2022,코발트,독일,0,0,0,1
2022,코발트,미국,,,,
2022,코발트,영국,0,0,12,87
2022,코발트,이집트,0,0,0,0
2022,코발트,잠비아,,,,
2022,코발트,콩고민주공화국,0,0,0,0
2022,코발트,프랑스,0,0,0,7
2021,크롬,남아프리카공화국,0,0,180,99
2021,크롬,네덜란드,0,0,25,13
2021,크롬,대만,2,2,0,0
2021,크롬,독일,0,0,8,9
2021,크롬,벨기에,0,0,0,3
2021,크롬,일본,20,11,30,45
2021,크롬,중국,44,17,191,78
2021,크롬,파키스탄,0,0,1320,585
2021,크롬,필리핀,,,,
2022,크롬,남아프리카공화국,0,0,361,184
2022,크롬,네덜란드,,,,
2022,크롬,대만,,,,
2022,크롬,독일,,,,
2022,크롬,벨기에,0,0,0,4
2022,크롬,일본,0,0,29,37
2022,크롬,중국,0,0,0,0
2022,크롬,파키스탄,,,,
2022,크롬,필리핀,0,0,0,0
2021,탄탈륨,베트남,,,,
2021,탄탈륨,브라질,,,,
2021,탄탈륨,중국,0,0,0,15
2021,탄탈륨,케냐,0,0,0,0
