보고서종류,작성연도,보고서명,광산명,광종,소재지,광업지적,보고서번호
기술조사,1982,"양지(금,은,동)광산기술조사보고서",양지,"금,동,아연,연,은",강원도원주시신림면,"신림_084,신림_094",82의-010
기술조사,1982,"수태(금,은,동)광산기술조사보고서",수태,"금,동,아연,연,은","경상남도고성군상리면,경상남도고성군하일면","삼천포_023,삼천포_032",82의-009
기술조사,1982,"삼호(금,은)광산기술조사보고서",삼호,"금,연,은",강원도홍천군홍천읍,,82의-008
기술조사,1982,"삼일리(금,은,동)광산기술조사보고서",삼일리,"규석,금,동,몰리브덴,은,형석",강원도화천군사내면삼일리,화천_140,82의-007
기술조사,1982,"삼봉(금,은)광산기술조사보고서",삼봉,"금,동,은,텅스텐,휘수연","강원도춘천시동면,강원도춘천시북산면,강원도홍천군두촌면,강원도홍천군화촌면",,82의-006
기술조사,1982,동정(철)광산기술조사보고서,동정,철,경상북도영덕군영덕읍,,82의-005
기술조사,1982,"동용(금,은)광산기술조사보고서",동용,"금,몰리브덴,은,텅스텐",충청북도제천시송학면포전리,신림_009,82의-004
기술조사,1982,대천(텅스텐)광산기술조사보고서,대천,"금,몰리브덴,연,은,텅스텐",강원도영월군수주면법흥리,,82의-003
기술조사,1982,"당진금산(금,은)광산기술조사보고서",당진금산,"금,동,은",충청남도당진시순성면갈산리,,82의-002
기술조사,1982,"경동(금,은,동)광산기술조사보고서",경동,"금,동,아연,연,은",경상북도봉화군소천면분천리,"현동_105,현동_106",82의-001
굴진효과조사,1982,"장군(연,아연)광산굴진효과조사보고서",장군,"아연,연,은",경상북도봉화군소천면,,82굴-015
굴진효과조사,1982,"부성(연,아연)광산굴진효과조사보고서",부성,"금,동,아연,연,은",경상북도청도군청도읍,,82굴-014
굴진효과조사,1982,"연화광산(연,아연)굴진효과조사보고서",연화,"아연,연",경상북도봉화군소천면,,82굴-013
굴진효과조사,1982,"제2연화(연,아연)광산굴진효과조사보고서",제2연화,"아연,연",강원도삼척시원덕읍,,82굴-012
굴진효과조사,1982,삼봉(동)광산굴진효과조사보고서,삼봉,"금,동,은",경상남도고성군삼산면,,82굴-011
굴진효과조사,1982,기구(동)광산굴진효과조사보고서,기구,동,경상북도경주시양남면,,82굴-010
굴진효과조사,1982,양양(철)광산굴진효과조사보고서,㈜삼미광업개발양양철,철,강원도양양군서면,,82굴-009
굴진효과조사,1982,"영흥(연,아연)광산굴진효과조사보고서",영흥,"동,아연,연,은",경상남도양산시원동면,,82굴-008
굴진효과조사,1982,거제(동)광산굴진효과조사보고서,거제,"금,동,아연,연,은",경상남도거제시하청면,,82굴-007
