작성연도,보고서명,광산명,광종,소재지,광업지적,보고서번호
1988,금곡(철)광산 물리탐사보고서,금곡,"규석,철",충청북도 충주시 대소원면 ,"충주_103,충주_113",88물-002
1988,"천태(금,은)광산 물리탐사보고서",천태,"금,은",전라북도 정읍시 고부면 ,정읍_123,88물-001
1987,태삼진(흑연)광산 물리탐사보고서,태삼진,흑연,경기도 가평군 상면 행현리,청평_084,87물-001
1987,"봉화(연,아연)광산 물리탐사보고서",봉화지구,"아연,연",강원도 태백시 장성동 ,"장성_145,장성_146",87물-031
1987,정선(철)지구 물리탐사보고서,"신예미,한룡","금,동,몰리브덴,아연,연,은,철","강원도 정선군 신동읍 ,강원도 정선군 임계면 ","예미_049,예미_050,예미_059,임계_076",87물-030
1987,양양(철)지구 물리탐사보고서,"양양,일신",철,강원도 양양군 강현면 ,"양양_103,양양_104,양양_112,양양_113,양양_114,양양_122,양양_123,양양_124",87물-029
1987,"봉발(연,아연)광산 물리탐사보고서",봉발,"금,동,아연,연,은",경상남도 고성군 영현면 ,,87물-028
1987,"고명(금,은)광산 물리탐사보고서",고명,"금,은",강원도 고성군 현내면 ,"고성_068,고성_078",87물-027
1987,"동보(금,은)광산 물리탐사보고서",동보,"금,동,아연,연,은",강원도 고성군 현내면 ,고성_068,87물-026
1987,"동성(연,아연)광산 물리탐사보고서",동성,"금,동,아연,연,은",강원도 고성군 현내면 ,고성_077,87물-025
1987,"주천(금,은)광산 물리탐사보고서",주천,"금,동,아연,연,은",강원도 영월군 주천면 ,영월_124,87물-024
1987,"삼전(금,은,동)광산 물리탐사보고서",삼전,"금,동,아연,연,은",경상남도 고성군 삼산면 ,충무_143,87물-023
1987,"울산(철,중석)광산 물리탐사보고서",울산,"사문석,아연,연,은,철,텅스텐",울산광역시 울주군  ,"울산_102,울산_103",87물-022
1987,"황금산(금,은)광산 물리탐사보고서",황금산,"금,동,아연,연,은","경상북도 상주시 중동면 ,경상북도 예천군 풍양면 ","상주_122,상주_123",87물-021
1987,"연화(연,아연)광산 물리탐사보고서",제2연화,"금,아연,연,은",강원도 태백시 철암동 ,,87물-020
1987,"보익(금,은)광산 물리탐사보고서",보익,"금,은",경기도 양평군 단월면 ,"용두리_050,이포_041",87물-019
1987,"한용(금,은)광산 물리탐사보고서",한용,"금,아연,연,은",강원도 정선군 임계면 ,임계_076,87물-018
1987,충주철(철)광산 물리탐사보고서,충주철,철,충청북도 충주시 대소원면 ,,87물-017
1987,서흥(철)광산 물리탐사보고서,서흥,철,강원도 홍천군 서석면 ,창촌_136,87물-016
1987,"천지(연,아연)광산 물리탐사보고서",천지,"금,동,아연,연,은",경상남도 창원시 의창구 북면 ,마산_071,87물-015
1987,"금만(금,은)광산 물리탐사보고서",금만,"금,동,은",전라북도 김제시 금산면 ,전주_146,87물-014
1987,"신림(은,연,아연)광산 물리탐사보고서",신림,"금,동,아연,연,은",강원도 원주시 신림면 ,신림_098,87물-013
1987,"삼호(금,은)광산 물리탐사보고서",삼호,"금,아연,연,은",강원도 횡성군 안흥면 ,,87물-012
1987,"금산(금,은)광산 물리탐사보고서",금산,"금,동,은",전라북도 김제시 금산면 ,전주_127,87물-011
1987,"금만(금,은)광산 물리탐사보고서",금만,"금,동,은",전라북도 김제시 금산면 ,"전주_126,전주_127",87물-010
1987,항남(철)광산 물리탐사보고서,항남,"금,동,은,철",충청북도 단양군 가곡면 ,영춘_050,87물-009
1987,"남일(은,동,연)광산 물리탐사보고서",남일,"금,동,아연,연,은",경상남도 남해군 서면 ,서상_093,87물-008
1987,"영명(금,은)광산 물리탐사보고서",영명,"금,은",충청남도 부여군 은산면 ,부여_093,87물-007
1987,금곡(철)광산 물리탐사보고서,금곡,"규석,철",충청북도 충주시 대소원면 ,"충주_103,충주_113,충주_124",87물-006
1987,"보성(금,은,연)광산 물리탐사보고서",보성,"금,동,아연,연,은",경기도 가평군  ,청평_014,87물-005
1987,한천(철)광산 물리탐사보고서,한천,"규석,철",전라남도 화순군 한천면 ,"광주_010,동복_150",87물-004
1987,대해미(금)광산 물리탐사보고서,대해미,"금,은",충청남도 서산시 해미면 산수리,"해미_118,해미_119",87물-003
1987,"금동칠보(금,은)광산 물리탐사보고서",금동칠보,"금,동,아연,연,은",경상북도 의성군 춘산면 ,,87물-002
