¿¬µµ,ºÐ·ù,±¤Á¾,¼öÃâÁß·®(Åæ),¼öÃâ±Ý¾×(ÃµºÒ),¼öÀÔÁß·®(Åæ),¼öÀÔ±Ý¾×(ÃµºÒ)
2021,ºñ±Ý¼Ó±¤,±ÔÈ¸¼®,1031,1728,23577,6560
2021,ºñ±Ý¼Ó±¤,¿î¸ð,1692,6162,184573,31341
2021,ºñ±Ý¼Ó±¤,ÁÖ»ç,0,0,0,25
2021,ºñ±Ý¼Ó±¤,È«ÁÖ¼®,0,0,7704,3838
2021,ºñ±Ý¼Ó±¤,±Ô¼±¼®,0,0,2,7
2021,ºñ±Ý¼Ó±¤,³²Á¤¼®,0,0,2280,1092
2021,ºñ±Ý¼Ó±¤,ÁßÁ¤¼®,554,324,42954,10008
2021,ºñ±Ý¼Ó±¤,¸¶±×³×»çÀÌÆ®,833,1062,248556,112821
2021,ºñ±Ý¼Ó±¤,¼®°í,623093,8655,1087435,43439
2021,ºñ±Ý¼Ó±¤,ºÒ¼®,1090,183,850,527
2021,ºñ±Ý¼Ó±¤,¼öÁ¤,0,30,48,178
2021,ºñ±Ý¼Ó±¤,ºØ¼Ò±¤,57,105,13297,5406
2021,ºñ±Ý¼Ó±¤,±Ý°­¼®,0.489,8477,1.238,112074
2021,ºñ±Ý¼Ó±¤,ÇÏ¼®,5,7,122,57
2021,ºñ±Ý¼Ó±¤,±âÅ¸ ºñ±Ý¼Ó,43136,3557,148419,47448
2021,¼®Åº±¤,¹«¿¬Åº,430,208,6474924,889226
2021,¼®Åº±¤,À¯¿¬Åº,0,0,117105711,13485474
2021,¼®Åº±¤,°¥Åº,0,0,26,26
2021,¼®Åº±¤,ÅäÅº,57,84,145052,28756
2021,¼®Åº±¤,±âÅ¸ ¼®Åº,15,9,2035822,159198
2022,±Ý¼Ó±¤,±Ý±¤,0,0,9750821,97902
2022,±Ý¼Ó±¤,Àº±¤,1048880,3184,44681899,257780
2022,±Ý¼Ó±¤,µ¿±¤,745112,1582406,2358818,6578328
2022,±Ý¼Ó±¤,¿¬±¤,81,46,562998,1874318
2022,±Ý¼Ó±¤,¾Æ¿¬±¤,19398,37506,1689576,2356267
2022,±Ý¼Ó±¤,Ã¶±¤,275074,14312,66423000,8920450
2022,±Ý¼Ó±¤,ÅÖ½ºÅÙ±¤,1241,3559,40,607
2022,±Ý¼Ó±¤,¸ô¸®ºêµ§±¤,4417,48455,36001,799955
2022,±Ý¼Ó±¤,¸Á°£±¤,113,5,1085930,283632
2022,±Ý¼Ó±¤,ÁÖ¼®±¤,1,39,17,119
2022,±Ý¼Ó±¤,Ã¢¿¬,0,0,0,4
2022,±Ý¼Ó±¤,¾ÈÆ¼¸ð´Ï±¤,0,0,0,1
2022,±Ý¼Ó±¤,ºñ¼Ò±¤,0,0,0,1
2022,±Ý¼Ó±¤,È²Ã¶¼®,0,0,1622,928
2022,±Ý¼Ó±¤,´ÏÄÌ,108,206,2653287,382427
2022,±Ý¼Ó±¤,ÄÚ¹ßÆ®,0,0,12,95
2022,±Ý¼Ó±¤,Å©·Ò±¤,0,0,390,225
2022,±Ý¼Ó±¤,Æ¼Å¸´½±¤,260954,18900,67834,55566
2022,±Ý¼Ó±¤,ÁúÄÚ´½±¤,218,1015,6852,14348
2022,±Ý¼Ó±¤,¾Ë·ç¹Ì´½±¤,478,46,417762,33150
2022,±Ý¼Ó±¤,¹é±Ý±¤,123,4216,0,13
2022,±Ý¼Ó±¤,ÅºÅ»·ý±¤,0,0,0,54
2022,±Ý¼Ó±¤,¹Ù³ªµã±¤,3466,4516,108,145
2022,±Ý¼Ó±¤,´Ï¿Àºç±¤,0,0,0,24
2022,±Ý¼Ó±¤,°Ô¸£¸¶´½±¤,7,6,0,7
2022,ºñ±Ý¼Ó±¤,ÀÎ»óÈæ¿¬,84,756,12392,18318
2022,ºñ±Ý¼Ó±¤,Åä»óÈæ¿¬,111,809,36040,112533
2022,ºñ±Ý¼Ó±¤,È°¼®,29045,14300,186443,40230
2022,ºñ±Ý¼Ó±¤,³³¼®,85320,5169,1364,349
2022,ºñ±Ý¼Ó±¤,Àå¼®,34153,2992,7306,1102
2022,ºñ±Ý¼Ó±¤,°í·ÉÅä·ù,55387,6247,322744,85391
2022,ºñ±Ý¼Ó±¤,¼®È¸¼®·ù,307434,7853,2134602,61105
2022,ºñ±Ý¼Ó±¤,±Ô¼®,23232,4503,94986,18224
2022,ºñ±Ý¼Ó±¤,±Ô»ç,13906,1158,927309,68564
2022,ºñ±Ý¼Ó±¤,È²,1555671,281131,137710,27628
2022,ºñ±Ý¼Ó±¤,±ÔÁ¶Åä,1119,1410,187937,55333
2022,ºñ±Ý¼Ó±¤,Çü¼®,159,145,56801,23324
2022,ºñ±Ý¼Ó±¤,ÀÎ±¤¼®,41,290,542106,117630
2022,ºñ±Ý¼Ó±¤,±ÔÈ¸¼®,1021,1590,22529,6518
2022,ºñ±Ý¼Ó±¤,¿î¸ð,1134,5385,181574,32980
2022,ºñ±Ý¼Ó±¤,ÁÖ»ç,0,0,1,36
2022,ºñ±Ý¼Ó±¤,È«ÁÖ¼®,0,0,12694,7769
2022,ºñ±Ý¼Ó±¤,±Ô¼±¼®,0,0,0,0
2022,ºñ±Ý¼Ó±¤,³²Á¤¼®,0,0,2269,1359
2022,ºñ±Ý¼Ó±¤,ÁßÁ¤¼®,612,368,41376,10526
2022,ºñ±Ý¼Ó±¤,¸¶±×³×»çÀÌÆ®,675,916,208275,93701
2022,ºñ±Ý¼Ó±¤,¼®°í,575551,8202,977028,43407
2022,ºñ±Ý¼Ó±¤,ºÒ¼®,575,313,736,641
2022,ºñ±Ý¼Ó±¤,¼öÁ¤,0,18,26,118
2022,ºñ±Ý¼Ó±¤,ºØ¼Ò±¤,14,20,14397,6994
2022,ºñ±Ý¼Ó±¤,±Ý°­¼®,473,13024,1137,123091
2022,ºñ±Ý¼Ó±¤,ÇÏ¼®,0,1,321,144
2022,¼®Åº±¤,¹«¿¬Åº,375,251,5384000,1661049
2022,¼®Åº±¤,À¯¿¬Åº,0,0,117752000,26230599
2022,¼®Åº±¤,°¥Åº,0,0,107,65
2022,¼®Åº±¤,ÅäÅº,21,41,110185,25324
2023,±Ý¼Ó±¤,±Ý±¤,0.1,512,10092.692,108174
2023,±Ý¼Ó±¤,Àº±¤,11088.506,34081,54930.786,347336
2023,±Ý¼Ó±¤,µ¿±¤,693075,1527620,2198211,5826845
2023,±Ý¼Ó±¤,¿¬±¤,0,0,541094,1517978
2023,±Ý¼Ó±¤,¾Æ¿¬±¤,15293,18227,1777006,1768132
2023,±Ý¼Ó±¤,Ã¶±¤,490832,26507,68286843,8081929
2023,±Ý¼Ó±¤,ÅÖ½ºÅÙ±¤,30,555,61,898
2023,±Ý¼Ó±¤,¸ô¸®ºêµ§±¤,6817,76963,43840,1285658
2023,±Ý¼Ó±¤,¸Á°£±¤,20,33,785844,159014
2023,±Ý¼Ó±¤,ÁÖ¼®±¤,1,27,49,202
2023,±Ý¼Ó±¤,Ã¢¿¬,0,0,0,0
2023,±Ý¼Ó±¤,¾ÈÆ¼¸ð´Ï±¤,0,2,41,327
2023,±Ý¼Ó±¤,ºñ¼Ò±¤,1,0,0,0
2023,±Ý¼Ó±¤,È²Ã¶¼®,0,0,1448,909
2023,±Ý¼Ó±¤,´ÏÄÌ,1180,1028,3035544,324860
2023,±Ý¼Ó±¤,ÄÚ¹ßÆ®,0,0,0,0
2023,±Ý¼Ó±¤,Å©·Ò±¤,12,4,3209,1828
2023,±Ý¼Ó±¤,Æ¼Å¸´½±¤,233015,15998,79822,50107
2023,±Ý¼Ó±¤,ÁúÄÚ´½±¤,89,529,4134,9240
2023,±Ý¼Ó±¤,¾Ë·ç¹Ì´½±¤,494,231,290483,32465
2023,±Ý¼Ó±¤,¹é±Ý±¤,26,58,39,26
2023,±Ý¼Ó±¤,ÅºÅ»·ý±¤,0,0,0,1
2023,±Ý¼Ó±¤,¹Ù³ªµã±¤,4613,6081,1485,1920
2023,±Ý¼Ó±¤,´Ï¿Àºç±¤,0,0,0,31
2023,±Ý¼Ó±¤,°Ô¸£¸¶´½±¤,0,0,0,6
2023,ºñ±Ý¼Ó±¤,ÀÎ»óÈæ¿¬,65,642,11364,15661
2023,ºñ±Ý¼Ó±¤,Åä»óÈæ¿¬,142,1094,40656,94744
2023,ºñ±Ý¼Ó±¤,È°¼®,37125,19161,184377,36904
2023,ºñ±Ý¼Ó±¤,³³¼®,61032,4271,587,257
2023,ºñ±Ý¼Ó±¤,Àå¼®,28625,2432,8564,1335
2023,ºñ±Ý¼Ó±¤,°í·ÉÅä·ù,31104,4077,281654,73012
2023,ºñ±Ý¼Ó±¤,¼®È¸¼®·ù,226586,11577,2150131,55879
2023,ºñ±Ý¼Ó±¤,±Ô¼®,9852,4706,92151,19216
2023,ºñ±Ý¼Ó±¤,±Ô»ç,1836,351,921250,56899
2023,ºñ±Ý¼Ó±¤,È²,1538414,105277,64323,6378
2023,ºñ±Ý¼Ó±¤,±ÔÁ¶Åä,1508,1685,175007,44315
2023,ºñ±Ý¼Ó±¤,Çü¼®,382,366,64908,28582
2023,ºñ±Ý¼Ó±¤,ÀÎ±¤¼®,20,117,502191,100775
2023,ºñ±Ý¼Ó±¤,±ÔÈ¸¼®,888,1533,19507,6188
2023,ºñ±Ý¼Ó±¤,¿î¸ð,4088,8468,140452,23980
2023,ºñ±Ý¼Ó±¤,ÁÖ»ç,0,0,0,8
2023,ºñ±Ý¼Ó±¤,È«ÁÖ¼®,5,4,5475,3867
2023,ºñ±Ý¼Ó±¤,±Ô¼±¼®,0,0,1,1
2023,ºñ±Ý¼Ó±¤,³²Á¤¼®,0,0,3141,1866
2023,ºñ±Ý¼Ó±¤,ÁßÁ¤¼®,692,448,45231,10609
2023,ºñ±Ý¼Ó±¤,¸¶±×³×»çÀÌÆ®,319,793,201332,76159
2023,ºñ±Ý¼Ó±¤,¼®°í,417233,7154,1047118,41325
2023,ºñ±Ý¼Ó±¤,ºÒ¼®,350,320,941,464
2023,ºñ±Ý¼Ó±¤,¼öÁ¤,0,9,28,112
2023,ºñ±Ý¼Ó±¤,ºØ¼Ò±¤,14,22,11815,6307
2023,ºñ±Ý¼Ó±¤,±Ý°­¼®,0.676,14044,1.05,91831
2023,ºñ±Ý¼Ó±¤,ÇÏ¼®,0,0,322,128
2023,¼®Åº±¤,¹«¿¬Åº,302,197,4638661,1005124
2023,¼®Åº±¤,À¯¿¬Åº,0,0,112932392,18892801
2023,¼®Åº±¤,°¥Åº,0,0,217,102
2023,¼®Åº±¤,ÅäÅº,33,51,71952,18949
