작성연도,보고서명,광산명,광종,소재지,광업지적,보고서번호
1992,"석일(구.남산,금,은,동)광산 정밀조사보고서",석일,"금,동,은","충청남도 공주시 탄천면 남산리,충청남도 부여군 초촌면 세탑리,충청남도 부여군 초촌면 신암리","논산_121,논산_122,논산_123,논산_131,논산_132,논산_133,논산_134,논산_143,논산_144",92정-009
1992,"금태(금,은)광산 정밀조사보고서",금태,"금,은",충청남도 공주시 계룡면 화은리,,92정-008
1992,"금지(금,은)광산 정밀조사보고서",금지,"금,은",충청남도 부여군 임천면 ,"부여_067,부여_068,부여_077,부여_078,부여_088",92정-007
1992,"금적산(금,은)광산 정밀조사보고서",금적산,"금,동,은",충청북도 옥천군 안남면 ,"보은_027,보은_028",92정-006
1992,"공주대금(금,은)광산 정밀조사보고서",공주대금,"금,은",충청남도 공주시 우성면 단지리,"공주_112,공주_122",92정-005
1992,"공신(금,은)광산 정밀조사보고서",공신,"금,은,형석","충청북도 영동군 용산면 ,충청북도 옥천군 청산면 ,충청북도 옥천군 청성면 ",영동_133,92정-004
1992,"방림(금,은)광산 정밀조사보고서",방림,"금,동,아연,연,은",강원도 평창군 방림면 ,,92정-003
1992,"세민(금,은)광산 정밀조사보고서",세민,"금,은",경상북도 영천시 임고면 수성리,"기계_068,기계_069,기계_078,기계_079",92정-002
1992,"백운(금,은)광산 정밀조사보고서",백운,"금,은",전라북도 진안군 백운면 신암리,"오수_022,오수_023,오수_032,오수_033,오수_042,오수_043",92정-001
1991,삼척(석탄)탄전 정밀조사보고서,삼척탄전,석탄,"강원도 정선군 고한읍 ,강원도 태백시 화전동 ",,91정-003
1991,충남(석탄)탄전 정밀조사보고서,충남탄전(당진지구),석탄,충청남도 당진시 석문면 ,,91정-002
1991,보은(석탄)탄전 정밀조사보고서,보은탄전(회남지구),석탄,"충청북도 보은군 회남면 ,충청북도 보은군 회북면 ",,91정-001
1991,충주(활석)지역 정밀조사보고서,(충주지구),활석,"충청북도 충주시 동량면 ,충청북도 충주시 살미면 ,충청북도 충주시 종민동 ","충주_001,충주_002,충주_003,충주_004,충주_014,황강리_142,황강리_143,황강리_144",91정-003
1991,"청송(납석,도석)지역 정밀조사보고서",(청송지구),"납석,도석","경상북도 청송군 부남면 ,경상북도 청송군 부동면 ","도평_062,도평_063,도평_064,청송_059,청송_060",91정-002
1991,"당진(장석,도석)지역 정밀조사보고서",(당진지구),"도석,장석","충청남도 당진시 송산면 가곡리,충청남도 당진시 송산면 동곡리,충청남도 당진시 송산면 유곡리","당진_031,당진_032,당진_033,당진_042,당진_043",91정-001
1991,"봉화지역(금,은) 정밀조사보고서",장군광산,"금,동,망간,아연,연,은,주석,철,텅스텐","경상북도 봉화군 재산면 ,경상북도 영양군 수비면 ,경상북도 영양군 일월면 ","도계동_081,도계동_082,도계동_091,도계동_092,도계동_101,도계동_102,도계동_111,도계동_112,도계동_121,도계동_122,도계동_132,현동_049,현동_050,현동_059,현동_060,현동_069,현동_099,현동_100,현동_109,현동_110,현동_119,현동_120,현동_129,현동_130,현동_139,현동_140",91정-037
1991,"상주(금,은)광산 정밀조사보고서",상주,"금,은",경상북도 상주시 낙동면 성동리,,91정-036
1991,"동원(금,은)광산 정밀조사보고서",동원,"금,은",강원도 정선군 화암면 ,"임계_119,임계_120,임계_129,임계_130,호명_101,호명_102,호명_111,호명_112",91정-035
1991,"삼광(금,은)광산 정밀조사보고서",삼광,"금,은",충청남도 청양군 운곡면 ,"대흥_059,대흥_060,대흥_068,대흥_069,대흥_070,대흥_079",91정-034
1991,"대현(금,은)광산 정밀조사보고서",대현,"금,동,연,은",충청남도 홍성군 장곡면 ,,91정-033
