연도,광종분류,광종,건수
2017,비금속,"석탄,흑연",111
2017,비금속,석회석,279
2017,비금속,"규석,장석",603
2017,비금속,"고령토,규조토",357
2017,비금속,활석,11
2017,비금속,형석,3
2017,비금속,운모,39
2017,비금속,기타비금속,21
2017,사광,규사,78
2017,사광,"사금,사철",18
2018,금속,"금,은,동,연,아연",1958
2018,금속,"철,망간",23
2018,금속,"텅스텐,몰리브덴",35
2018,금속,기타금속,181
2018,비금속,"석탄,흑연",202
2018,비금속,석회석,460
2018,비금속,"규석,장석",752
2018,비금속,"고령토,규조토",401
2018,비금속,활석,34
2018,비금속,형석,4
2018,비금속,운모,85
2018,비금속,기타비금속,97
2018,사광,규사,106
2018,사광,"사금,사철",17
2019,금속,"금,은,동,연,아연",875
2019,금속,"철,망간",17
2019,금속,"텅스텐,몰리브덴",3
2019,금속,기타금속,160
2019,비금속,"석탄,흑연",348
2019,비금속,석회석,289
2019,비금속,"규석,장석",658
2019,비금속,"고령토,규조토",238
2019,비금속,활석,26
2019,비금속,형석,6
2019,비금속,운모,27
2019,비금속,기타비금속,34
2019,사광,규사,91
2019,사광,"사금,사철",11
2020,금속,"금,은,동,연,아연",1311
2020,금속,"철,망간",39
2020,금속,"텅스텐,몰리브덴",1
2020,금속,기타금속,194
2020,비금속,"석탄,흑연",151
2020,비금속,석회석,251
2020,비금속,"규석,장석",555
2020,비금속,"고령토,규조토",239
2020,비금속,활석,31
2020,비금속,형석,5
2020,비금속,운모,16
2020,비금속,기타비금속,6
2020,사광,규사,73
2020,사광,"사금,사철",12
2021,금속,"금,은,동,연,아연",1111
2021,금속,"철,망간",44
2021,금속,"텅스텐,몰리브덴",2
2021,금속,기타금속,119
2021,비금속,"석탄,흑연",57
2021,비금속,석회석,293
2021,비금속,"규석,장석",526
2021,비금속,"고령토,규조토",230
2021,비금속,활석,14
2021,비금속,형석,0
2021,비금속,운모,31
2021,비금속,기타비금속,6
2021,사광,규사,74
2021,사광,"사금,사철",4
2022,금속,"금,은,동,연,아연",1285
2022,금속,"철,망간",31
2022,금속,"텅스텐,몰리브덴",4
2022,금속,기타금속,157
2022,비금속,"석탄,흑연",34
2022,비금속,석회석,165
2022,비금속,"규석,장석",358
2022,비금속,"고령토,규조토",132
2022,비금속,활석,9
2022,비금속,형석,1
2022,비금속,운모,15
2022,비금속,기타비금속,22
2022,사광,규사,40
2022,사광,"사금,사철",3
2023,금속,"금,은,동,연,아연",1661
2023,금속,"철,망간",48
2023,금속,"텅스텐,몰리브덴",21
2023,금속,기타금속,150
2023,비금속,"석탄,흑연",21
2023,비금속,석회석,205
2023,비금속,"규석,장석",307
2023,비금속,"고령토,규조토",150
2023,비금속,활석,10
2023,비금속,형석,6
2023,비금속,운모,9
2023,비금속,기타비금속,12
2023,사광,규사,41
2023,사광,"사금,사철",3
2024,금속,"금,은,동,연,아연",1144
2024,금속,"철,망간",22
2024,금속,"텅스텐,몰리브덴",30
2024,금속,기타금속,154
2024,비금속,"석탄,흑연",39
2024,비금속,석회석,174
2024,비금속,"규석,장석",278
2024,비금속,"고령토,규조토",206
2024,비금속,활석,12
2024,비금속,형석,3
2024,비금속,운모,15
2024,비금속,기타비금속,19
2024,사광,규사,48
2024,사광,"사금,사철",3
2025,금속,"금,은,동,연,아연",986
2025,금속,"철,망간",20
2025,금속,"텅스텐,몰리브덴",32
2025,금속,기타금속,107
2025,비금속,"석탄,흑연",19
2025,비금속,석회석,146
2025,비금속,"규석,장석",222
2025,비금속,"고령토,규조토",159
2025,비금속,활석,8
2025,비금속,형석,0
2025,비금속,운모,9
2025,비금속,기타비금속,8
2025,사광,규사,56
2025,사광,"사금,사철",8
