연도,광종분류,광종,서울,부산,대구,인천,광주,대전,울산,세종,경기,강원,충북,충남,전북,전남,경북,경남
2019,비금속광,"규석,장석",0,0,1,8,0,0,0,0,84,149,80,68,73,51,57,15
2019,비금속광,석회석,0,0,0,1,0,0,0,0,5,909,291,28,19,25,68,0
2019,비금속광,"고령토,규조토",0,0,0,2,1,0,13,0,20,47,12,131,72,133,232,213
2019,비금속광,납석,0,1,0,0,0,0,2,0,1,12,5,1,1,25,28,7
2019,비금속광,활석,0,0,0,0,0,0,0,0,0,10,18,8,0,0,2,0
2019,비금속광,운모,0,0,0,0,0,0,0,0,5,16,29,9,1,0,23,1
2019,비금속광,규사,0,0,0,0,0,0,0,0,0,7,0,53,0,17,26,0
2019,비금속광,기타,0,0,0,0,0,0,10,0,0,6,4,4,0,1,49,0
2020,금속광,"금,은,동,연,아연",0,1,0,0,0,0,1,2,42,144,86,72,31,52,111,57
2020,금속광,"철,망간",0,0,0,0,0,0,2,0,11,42,1,3,3,0,1,0
2020,금속광,우라늄,0,0,0,0,0,3,0,0,0,0,5,5,0,0,0,0
2020,금속광,기타,1,0,0,2,0,0,0,0,0,27,23,3,37,1,24,2
2020,비금속광,"석탄,흑연",0,0,0,0,0,0,0,1,14,49,7,21,0,19,3,1
2020,비금속광,"규석,장석",0,0,0,8,0,0,0,1,79,134,81,67,78,49,55,16
2020,비금속광,석회석,0,0,0,1,0,0,0,0,5,876,311,24,20,26,64,0
2020,비금속광,"고령토,규조토",0,0,0,2,1,0,13,0,21,50,12,130,68,126,224,199
2020,비금속광,납석,0,1,0,0,0,0,2,0,1,12,5,1,0,25,28,9
2020,비금속광,활석,0,0,0,0,0,0,0,0,0,10,18,8,0,0,2,0
2020,비금속광,운모,0,0,0,0,0,0,0,0,5,26,30,8,1,0,20,2
2020,비금속광,규사,0,0,0,0,0,0,0,0,0,8,0,52,0,10,23,0
2020,비금속광,기타,0,0,0,0,0,0,10,0,1,4,4,4,0,1,50,0
2021,금속광,"금,은,동,연,아연",0,1,0,0,0,0,1,2,38,144,74,66,31,48,97,54
2021,금속광,"철,망간",0,0,0,0,0,0,2,0,11,43,1,3,3,0,1,1
2021,금속광,우라늄,0,0,0,0,0,3,0,0,0,0,3,5,0,0,0,0
2021,금속광,기타,1,0,0,2,0,0,0,0,0,22,17,1,37,1,23,2
2021,비금속광,"석탄,흑연",0,0,0,0,0,0,0,1,14,50,7,15,0,19,4,1
2021,비금속광,"규석,장석",0,0,0,9,0,0,0,1,75,129,78,65,74,48,54,17
2021,비금속광,석회석,0,0,0,1,0,0,0,0,5,849,294,20,19,26,58,0
2021,비금속광,"고령토,규조토",0,0,0,2,1,0,13,0,23,50,13,123,60,123,219,200
2021,비금속광,납석,0,1,0,0,0,0,2,0,1,8,5,1,0,25,19,9
2021,비금속광,활석,0,0,0,0,0,0,0,0,0,11,18,8,0,0,2,0
2021,비금속광,운모,0,0,0,0,0,0,0,0,4,23,31,8,1,0,16,2
2021,비금속광,규사,0,0,0,0,0,0,0,0,0,8,0,51,0,10,23,0
2021,비금속광,기타,0,0,0,0,0,0,10,0,1,6,4,4,0,1,51,0
2022,금속광,"금,은,동,연,아연",0,1,0,0,0,0,1,1,31,117,69,56,21,33,79,37
2022,금속광,"철,망간",0,0,0,0,0,0,0,0,9,41,2,3,0,0,1,1
2022,금속광,우라늄,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
2022,금속광,기타,1,0,0,2,0,0,0,0,0,26,13,3,37,1,25,2
2022,비금속광,"석탄,흑연",0,0,0,0,0,0,0,2,15,51,8,17,0,17,4,1
2022,비금속광,"규석,장석",0,0,0,9,0,0,0,1,68,107,75,52,68,43,48,16
2022,비금속광,석회석,0,0,0,0,0,0,0,0,4,886,283,23,9,26,60,0
2022,비금속광,"고령토,규조토",0,0,1,1,0,0,13,0,13,47,13,126,56,104,141,201
2022,비금속광,납석,0,1,0,0,0,0,2,0,0,8,5,1,0,24,16,8
