공간정보일련번호,광물자원광업권개정일자,위치명,지적도명,광물자원명,광물자원부존면적,연안관리정보번호,이용기간내용,항목번호
161,1974-08-22,강원 양양군 현남면,주문진,규사,51,125,2013-08-22~2020-08-21,주문진125
162,1995-05-02,강원 강릉시 옥계면,묵호,규석,33,122,1995-05-03~2020-04-30,묵호122
163,1990-02-14,"강원 삼척군, 강원 삼척군 근덕면",삼척,석회석,253,36,2012-03-01~2032-02-29,삼척36
164,1988-10-17,"강원 삼척군, 강원 삼척군 근덕면",삼척,규석,56,35,2013-10-01~2033-09-30,삼척35
165,1985-05-23,"강원 강릉시 강동면, 강원 강릉시 옥계면",묵호,규석,87,121,2010-05-01~2030-04-30,묵호121
166,1985-12-18,강원 강릉시 옥계면,묵호,규석,67,122,2010-12-01~2030-11-30,묵호122
167,1990-01-15,"충남 당진군 석문면, 경기 화성군 우정면",장고항,규석,5,128,1990-01-16~2014-12-31,장고항128
181,1972-04-17,충남 서산시 안면읍,원산도,규사,10,91,2011-04-01~2018-03-31,원산도91
182,1999-01-02,전남 함평군 손불면,망운,규사,267,72,2011-01-03~2018-01-02,망운72
168,1990-01-15,"충남 당진군 석문면, 경기 화성군 우정면",장고항,규석,260,128,1990-01-16~2014-12-31,장고항128
169,1974-03-26,"충남 서산시 안면읍, 충남 보령시 오천면",원산도,규사,237,103,2013-03-27~2020-03-26,원산도103
185,1983-09-16,강원 고성군 죽왕면,속초,"이트륨, 란타늄",270,141,2008-09-01~2028-08-31,속초141
170,1974-01-08,충남 서산시 안면읍,원산도,규사,251,102,2013-01-09~2020-01-08,원산도102
171,1977-04-23,충남 서천군 서면,서천,규사,186,112,2012-04-01~2019-03-31,서천112
172,1974-05-03,충남 서산시 안면읍,안면도,규사,235,106,2013-05-04~2020-05-03,안면도106
173,1965-01-07,충남 서산시 안면읍,원산도,규사,243,93,2011-01-01~2017-12-31,원산도93
174,1965-01-07,충남 서산시 안면읍,원산도,규사,245,92,2011-01-01~2017-12-31,원산도92
175,1965-01-22,충남 서산시 안면읍,원산도,규사,223,84,2011-01-01~2017-12-31,원산도84
176,1966-06-25,충남 서산시 남면,안면도,규사,206,115,2012-06-01~2019-05-31,안면도115
177,1966-06-25,충남 서산시 남면,안면도,규사,136,125,2012-06-01~2019-05-31,안면도125
178,2016-07-22,경상북도 포항시 남구 장기면,구룡포,불석,69,148,2016-07-23~2036-07-22,구룡포148
179,2015-08-18,강원도 강릉시 강동면,산성우,규석,135,148,2015-08-19~2022-08-18,산성우148
